DEPTH,GR,NPHI,RHOB,RS,RD,VP,VS,TIME,PHIE,SW,VSH,LR,MR,PI,SI,VPVS
4629.0,117.3785,0.2303,2.5975,1.6703,1.7667,3608.0999,1936.9795,3055.5601,0.0588,1.0,0.6643,37207084.0,25314024.0,9372.039490250001,5031.30425125,1.8627455272500304
4629.5,119.3205,0.2444,2.5919,1.7077,1.729,3503.3274,1916.4833,3055.8672,0.0614,1.0,0.6281,33102590.0,24674400.0,9080.27428806,4967.33306527,1.8279978750662738
4630.0,119.3205,0.2444,2.5919,1.7077,1.7841,3503.3274,1916.4833,3056.1743,0.0614,1.0,0.6281,30831012.0,24103694.0,9080.27428806,4967.33306527,1.8279978750662738
4630.5,127.4139,0.251,2.5879,1.7401,1.7841,3503.3274,1896.099,3056.4814,0.0598,1.0,0.6668,33000490.0,24598296.0,9066.260978459999,4906.9146021,1.8476500435894962
4631.0,127.4139,0.251,2.5879,1.7401,1.7841,3516.2361,1894.1901,3056.7886,0.0598,1.0,0.6668,34745236.0,24029352.0,9099.66740319,4901.97455979,1.8563269336060833
4631.5,128.6422,0.2566,2.5845,1.4116,1.5052,3500.2217,1896.099,3057.0957,0.0598,1.0,0.6745,33806792.0,24014588.0,9046.32298365,4900.4678655,1.8460121016887832
4632.0,128.6422,0.2566,2.5845,1.4116,1.3258,3376.4063,1790.7228,3057.4028,0.0598,1.0,0.6745,33309652.0,21419524.0,8726.32208235,4628.1230766,1.8854991403471268
4632.5,133.321,0.2692,2.6068,1.3762,1.3344,3376.4063,1790.7228,3057.71,0.0522,1.0,0.7277,33886948.0,21790750.0,8801.615942839999,4668.05619504,1.8854991403471268
4633.0,133.321,0.2692,2.6068,1.3762,1.3515,3406.2563,1777.2678,3058.0171,0.0522,1.0,0.7277,35915220.0,21464522.0,8879.42892284,4632.98170104,1.9165689605134353
4633.5,135.2771,0.2692,2.5605,1.3282,1.3195,3364.907,1731.5624,3058.3242,0.0618,1.0,0.6952,34917992.0,19657388.0,8615.844373500002,4433.6655252,1.94327793211495
4634.0,135.2771,0.2692,2.5605,1.3282,1.2595,3342.1052,1731.5624,3058.6313,0.0618,1.0,0.6952,33915344.0,19657388.0,8557.460364600001,4433.6655252,1.9301095935093069
4634.5,135.2771,0.2537,2.5893,1.2878,1.2078,3342.1052,1731.5624,3058.9385,0.0592,1.0,0.6741,34682584.0,20102080.0,8653.712994360001,4483.53452232,1.9301095935093069
4635.0,135.2771,0.2537,2.5893,1.2878,1.3165,3342.1052,1731.5624,3059.2456,0.0592,1.0,0.6741,34682584.0,20102080.0,8653.712994360001,4483.53452232,1.9301095935093069
4635.5,130.3777,0.2537,2.5893,1.6741,1.5817,3450.4854,1841.6541,3059.5527,0.0524,1.0,0.6887,35623172.0,23586814.0,8934.34184622,4768.59496113,1.873579517456617
4636.0,130.3777,0.2537,2.5893,1.6741,1.7295,3506.7695,1892.674,3059.8599,0.0524,1.0,0.6887,35696428.0,24911782.0,9080.07826635,4900.7007882,1.8528122117173902
4636.5,130.3777,0.2389,2.6371,1.7093,1.5817,3501.3474,1892.674,3060.167,0.059,1.0,0.6871,32605468.0,24609890.0,9233.40322854,4991.170605400001,1.84994742887576
4637.0,130.3777,0.2389,2.6371,1.7093,1.5621,3501.3474,1892.674,3060.4741,0.059,1.0,0.6871,34006464.0,23909392.0,9233.40322854,4991.170605400001,1.84994742887576
4637.5,130.2137,0.2488,2.5836,1.4895,1.4351,3298.4336,1798.8265,3060.7813,0.0299,1.0,0.8445,33542732.0,24622072.0,8521.83304896,4647.4481454,1.833658554618803
4638.0,130.2137,0.2488,2.5836,1.4895,1.4502,3298.4336,1798.8265,3061.0884,0.0299,1.0,0.8445,33542732.0,24622072.0,8521.83304896,4647.4481454,1.833658554618803
4638.5,139.6781,0.2488,2.5836,1.5283,1.461,3259.8408,1798.8265,3061.3955,0.061,1.0,0.6572,27734634.0,21598776.0,8422.12469088,4647.4481454,1.8122041230769061
4639.0,139.6781,0.2488,2.5836,1.5283,1.4449,3358.748,1798.8265,3061.7026,0.061,1.0,0.6572,32104256.0,21598776.0,8677.6613328,4647.4481454,1.8671884142244959
4639.5,135.0885,0.2555,2.5962,1.4943,1.4227,3358.748,1801.6399,3062.0098,0.0572,1.0,0.6862,34985344.0,21878234.0,8719.9815576,4677.41750838,1.8642726551515652
4640.0,135.0885,0.2555,2.5962,1.4943,1.4981,3407.3569,1791.3353,3062.3169,0.0572,1.0,0.6862,32780712.0,21628682.0,8846.17998378,4650.66470586,1.9021323925230527
4640.5,139.058,0.2555,2.5827,1.4937,1.4904,3407.3569,1798.6121,3062.624,0.0587,1.0,0.6917,34286016.0,21578584.0,8800.180665630001,4645.27547067,1.8944367715529102
4641.0,139.058,0.2555,2.5827,1.4937,1.4255,3407.3569,1798.6121,3062.9312,0.0587,1.0,0.6917,34286016.0,21578584.0,8800.180665630001,4645.27547067,1.8944367715529102
4641.5,139.058,0.2566,2.6159,1.5612,1.4548,3366.572,1804.2742,3063.2383,0.0532,1.0,0.7027,33003442.0,22276520.0,8806.6156948,4719.80087978,1.8658871251387399
4642.0,139.058,0.2566,2.6159,1.5612,1.564,3369.9963,1804.2742,3063.5454,0.0532,1.0,0.7027,33161294.0,22276520.0,8815.573321169999,4719.80087978,1.8677850074007596
4642.5,143.026,0.253,2.5992,1.6459,1.5559,3369.9963,1813.2463,3063.8525,0.0563,1.0,0.6923,32300690.0,22212274.0,8759.29438296,4712.98978296,1.8585430451450526
4643.0,143.026,0.253,2.5992,1.6459,1.6117,3410.0215,1822.2581,3064.1597,0.0563,1.0,0.6923,32232754.0,23162916.0,8863.3278828,4736.413253520001,1.87131641780053
4643.5,155.9529,0.2566,2.5596,1.8777,1.8133,3363.4587,1822.2581,3064.4668,0.0665,1.0,0.6374,29191770.0,22462498.0,8609.10888852,4664.25183276,1.8457641648019016
4644.0,155.9529,0.2566,2.5596,1.8777,1.8668,3434.1804,1822.2581,3064.7739,0.0665,1.0,0.6374,33755864.0,21755246.0,8790.128151840001,4664.25183276,1.884574089696734
4644.5,163.8081,0.2798,2.5743,1.9234,1.9557,3434.1804,1822.2581,3065.0811,0.0579,1.0,0.7115,34144704.0,22005848.0,8840.61060372,4691.03902683,1.884574089696734
