DEPTH,GR,NPHI,RHOB,RS,RD,VP,VS,TIME,PHIE,SW,VSH,LR,MR,PI,SI,VPVS,LITHO,LITHO_LBL,LITHO_GMM
4675.5,92.6886,0.2084,,3.3429,3.2666,,,3143.0837,0.0382,1.0,0.7408,,,,,,1,Shale,1
4676.0,92.6886,0.2084,,3.3429,3.2666,,,3143.3564,0.0382,1.0,0.7408,,,,,,1,Shale,1
4676.5,92.6886,0.2036,,3.2287,3.152,,,3143.6289,0.0554,1.0,0.6182,,,,,,1,Shale,2
4677.0,92.6886,0.2036,,3.2287,3.152,,,3143.9014,0.0554,1.0,0.6182,,,,,,1,Shale,2
4677.5,93.8543,0.1973,,3.1277,3.0424,,,3144.1738,0.0531,1.0,0.6195,,,,,,1,Shale,2
4678.0,93.8543,0.1973,,3.1277,3.0424,,,3144.4465,0.0531,1.0,0.6195,,,,,,1,Shale,2
4678.5,97.3237,0.2027,,2.9606,2.8842,,,3144.719,0.0342,1.0,0.7596,,,,,,1,Shale,1
4679.0,97.3237,0.2027,,2.9606,2.8842,,,3144.9915,0.0342,1.0,0.7596,,,,,,1,Shale,1
4679.5,97.3237,0.2126,,3.0493,2.9783,,,3145.2642,0.0471,1.0,0.6872,,,,,,1,Shale,1
4680.0,97.3237,0.2126,,3.0493,2.9783,,,3145.5366,0.0471,1.0,0.6872,,,,,,1,Shale,1
4680.5,95.5583,0.2006,,2.9451,2.8892,,,3145.8091,0.0497,1.0,0.6503,,,,,,1,Shale,1
4681.0,95.5583,0.2006,,2.9451,2.8892,,,3146.0815,0.0497,1.0,0.6503,,,,,,1,Shale,1
4681.5,86.996,0.2057,,2.6393,2.8892,,,3146.3542,0.0758,1.0,0.4772,,,,,,2,Wet Sand,2
4682.0,86.996,0.2057,,2.6393,2.8892,,,3146.6267,0.0758,1.0,0.4772,,,,,,2,Wet Sand,2
4682.5,86.996,0.1981,,3.3718,3.2955,,,3146.8992,0.0685,1.0,0.5109,,,,,,1,Shale,2
4683.0,86.996,0.1981,,3.3718,3.2955,,,3147.1716,0.0685,1.0,0.5109,,,,,,1,Shale,2
4683.5,101.1111,0.1933,,3.4272,3.3621,,,3147.4443,0.0322,1.0,0.7659,,,,,,1,Shale,1
4684.0,101.1111,0.1933,,3.4272,3.3621,,,3147.7168,0.0322,1.0,0.7659,,,,,,1,Shale,1
4684.5,101.1111,0.2194,,3.1167,2.969,,,3147.9893,0.0214,1.0,0.8575,,,,,,1,Shale,1
4685.0,101.1111,0.2194,,3.1167,2.969,,,3148.2617,0.0214,1.0,0.8575,,,,,,1,Shale,1
4685.5,97.5189,0.2209,,3.0961,2.9397,,,3148.5344,0.0486,1.0,0.6894,,,,,,1,Shale,1
4686.0,97.5189,0.2209,,3.0961,2.9397,,,3148.8069,0.0486,1.0,0.6894,,,,,,1,Shale,1
4686.5,97.5189,0.2173,,3.044,2.8345,,,3149.0793,0.059,1.0,0.6165,,,,,,1,Shale,2
4687.0,97.5189,0.2173,,3.044,2.8345,,,3149.3521,0.059,1.0,0.6165,,,,,,1,Shale,2
4687.5,99.3076,0.2206,,2.8484,2.7064,,,3149.6245,0.0062,1.0,0.9621,,,,,,1,Shale,1
4688.0,99.3076,0.2206,,2.8484,2.7064,,,3149.897,0.0062,1.0,0.9621,,,,,,1,Shale,1
4688.5,106.6613,0.188,,2.8681,2.7789,,,3150.1694,0.0338,1.0,0.7453,,,,,,1,Shale,1
4689.0,106.6613,0.188,,2.8681,2.7789,,,3150.4421,0.0338,1.0,0.7453,,,,,,1,Shale,1
4689.5,99.3076,0.2039,,3.1571,3.0893,,,3150.7146,0.0141,1.0,0.9046,,,,,,1,Shale,1
4690.0,99.3076,0.2039,,3.1571,3.0893,,,3150.9871,0.0141,1.0,0.9046,,,,,,1,Shale,1
4690.5,47.5109,0.1815,,2.9295,2.9324,,,3151.2585,0.0967,1.0,0.2096,,,,,,2,Wet Sand,2
4691.0,47.5109,0.1815,,2.9295,2.9324,,,3151.5293,0.0967,1.0,0.2096,,,,,,2,Wet Sand,2
4691.5,47.5109,0.0704,,3.2301,3.1223,,,3151.7998,0.0442,1.0,0.1056,,,,,,2,Wet Sand,2
4692.0,47.5109,0.0704,2.661,3.2301,3.1223,3294.7007,500.0,3152.0706,0.0442,1.0,0.1056,76863776.0,0.0,8767.1985627,1330.5,6.5894014,2,Wet Sand,2
4692.5,72.7444,0.2246,2.6492,3.2301,3.1223,3294.7007,500.0,3152.3733,0.0714,0.9944,0.5816,76183592.0,0.0,8728.32109444,1324.6,6.5894014,1,Shale,2
4693.0,72.7444,0.2246,2.6492,3.2301,3.1223,3218.7822,500.0,3152.676,0.0714,0.9944,0.5816,72713104.0,0.0,8527.19780424,1324.6,6.4375644,1,Shale,2
4693.5,72.7444,0.316,2.636,1.7457,1.7512,3218.7822,500.0,3152.9785,0.1463,1.0,0.3426,71990296.0,0.0,8484.709879200002,1318.0,6.4375644,2,Wet Sand,2
4694.0,72.7444,0.316,2.636,1.7457,1.7512,3169.3677,500.0,3153.2813,0.1463,1.0,0.3426,69796880.0,0.0,8354.453257199999,1318.0,6.338735399999999,2,Wet Sand,2
4694.5,63.3738,0.3958,2.6286,1.6464,1.6051,3178.3008,500.0,3153.584,0.2096,0.9329,0.2581,69797352.0,0.0,8354.48148288,1314.3,6.3566016,2,Wet Sand,2
4695.0,63.3738,0.3958,2.6286,1.6464,1.6051,3147.4695,500.0,3153.8865,0.2096,0.9329,0.2581,68449768.0,0.0,8273.4383277,1314.3,6.294939,2,Wet Sand,2
4695.5,53.7346,0.422,2.6286,1.3932,1.3645,3077.041,500.0,3154.1892,0.2397,0.9491,0.1944,65420752.0,0.0,8088.309972600001,1314.3,6.154082000000001,2,Wet Sand,2
4696.0,53.7346,0.422,2.6286,1.3932,1.3645,3073.8201,500.0,3154.4919,0.2397,0.9491,0.1944,65283864.0,0.0,8079.84351486,1314.3,6.1476402,2,Wet Sand,2
4696.5,52.7019,0.4144,2.7038,1.2683,1.1592,3073.8201,500.0,3154.7947,0.252,1.0,0.1407,63458704.0,0.0,8310.99478638,1351.9,6.1476402,2,Wet Sand,2
4697.0,52.7019,0.4144,2.7038,1.2683,1.1592,3073.8201,500.0,3155.0972,0.252,1.0,0.1407,63458704.0,0.0,8310.99478638,1351.9,6.1476402,2,Wet Sand,2
4697.5,52.7019,0.372,2.7311,0.9597,0.8377,3073.8201,500.0,3155.3999,0.2159,1.0,0.1799,70474520.0,0.0,8394.91007511,1365.55,6.1476402,2,Wet Sand,2
4698.0,52.7019,0.372,2.7311,0.9597,0.8377,3140.2415,500.0,3155.7024,0.2159,1.0,0.1799,73553152.0,0.0,8576.31356065,1365.55,6.280483,2,Wet Sand,2
4698.5,53.1329,0.3418,2.7271,0.8899,0.7663,3899.189,500.0,3156.0051,0.1975,1.0,0.183,113070856.0,0.0,10633.4783219,1363.55,7.798378,2,Wet Sand,1
4699.0,53.1329,0.3418,2.7271,0.8899,0.7663,4017.054,500.0,3156.3079,0.1975,1.0,0.183,120009992.0,0.0,10954.9079634,1363.55,8.034108,2,Wet Sand,1
4699.5,51.9619,0.3587,2.7271,0.7688,0.7618,4197.2661,500.0,3156.6106,0.2096,1.0,0.1753,131019240.0,0.0,11446.36438131,1363.55,8.3945322,2,Wet Sand,1
4700.0,51.9619,0.3587,2.7271,0.7688,0.7618,4234.0918,500.0,3156.9131,0.2096,1.0,0.1753,133328392.0,0.0,11546.79174778,1363.55,8.4681836,2,Wet Sand,1
4700.5,53.4399,0.3784,2.7127,0.7729,0.7566,5090.1719,500.0,3157.2158,0.2184,1.0,0.1848,190663872.0,0.0,13808.10931313,1356.35,10.1803438,2,Wet Sand,1
4701.0,53.4399,0.3784,2.7127,0.7729,0.7566,5178.4424,500.0,3157.5186,0.2184,1.0,0.1848,197333936.0,0.0,14047.56069848,1356.35,10.3568848,2,Wet Sand,1
4701.5,53.4399,0.2983,2.7027,0.8816,0.8858,5203.9316,500.0,3157.821,0.1673,1.0,0.2098,197814816.0,0.0,14064.66593532,1351.35,10.4078632,2,Wet Sand,1
4702.0,53.4399,0.2983,2.7027,0.8816,0.8858,5178.4424,500.0,3158.1238,0.1673,1.0,0.2098,195881744.0,0.0,13995.77627448,1351.35,10.3568848,2,Wet Sand,1
4702.5,47.8254,0.2765,2.6761,2.0242,1.564,4920.208,500.0,3158.4265,0.1666,1.0,0.1499,173369056.0,0.0,13166.9686288,1338.05,9.840416,2,Wet Sand,1
4703.0,47.8254,0.2765,2.6761,2.0242,1.564,4920.208,500.0,3158.7292,0.1666,1.0,0.1499,173369056.0,0.0,13166.9686288,1338.05,9.840416,2,Wet Sand,1
4703.5,23.5861,0.1599,2.6761,18.5516,9.031,4920.208,500.0,3159.0317,0.1104,0.9528,0.0325,173369056.0,0.0,13166.9686288,1338.05,9.840416,2,Wet Sand,1
4704.0,23.5861,0.1599,2.6761,18.5516,9.031,4964.2666,500.0,3159.3345,0.1104,0.9528,0.0325,176487872.0,0.0,13284.87384826,1338.05,9.9285332,2,Wet Sand,1
4704.5,25.1404,0.1312,2.7369,40.1912,38.3633,4964.2666,500.0,3159.6372,0.0901,0.4824,0.0384,184598464.0,0.0,13586.70125754,1368.45,9.9285332,2,Wet Sand,1
4705.0,25.1404,0.1312,2.7369,40.1912,38.3633,4964.2666,500.0,3159.9397,0.0901,0.4824,0.0384,184598464.0,0.0,13586.70125754,1368.45,9.9285332,2,Wet Sand,1
4705.5,26.7306,0.131,2.7376,180.8718,75.2432,3336.3398,500.0,3160.2424,0.0893,0.3368,0.0449,83422000.0,0.0,9133.563836480002,1368.8,6.6726796,2,Wet Sand,2
4706.0,26.7306,0.131,2.7376,180.8718,75.2432,3336.3398,500.0,3160.5452,0.0893,0.3368,0.0449,83422000.0,0.0,9133.563836480002,1368.8,6.6726796,2,Wet Sand,2
4706.5,23.592,0.1111,2.7376,180.8718,75.2432,3270.5476,500.0,3160.8477,0.0772,0.1862,0.0336,80164296.0,0.0,8953.451109759999,1368.8,6.5410952,3,HC Sand,2
4707.0,23.592,0.1111,2.7376,180.8718,75.2432,3260.7056,500.0,3161.1504,0.0772,0.1862,0.0336,79682544.0,0.0,8926.50765056,1368.8,6.521411199999999,3,HC Sand,2
4707.5,23.592,0.1267,2.7183,170.8944,44.2145,3260.7056,500.0,3161.4531,0.0888,0.6529,0.0208,78562992.0,0.0,8863.57603248,1359.15,6.521411199999999,2,Wet Sand,2
4708.0,23.592,0.1267,2.7183,170.8944,44.2145,3245.2668,500.0,3161.7556,0.0888,0.6529,0.0208,77820792.0,0.0,8821.60874244,1359.15,6.4905336,2,Wet Sand,2
4708.5,42.7841,0.2191,2.7183,17.0753,6.4298,3274.1804,500.0,3162.0583,0.135,0.847,0.1352,79213648.0,0.0,8900.20458132,1359.15,6.5483608,2,Wet Sand,2
4709.0,42.7841,0.2191,2.7183,17.0753,6.4298,3522.4575,500.0,3162.3611,0.135,0.847,0.1352,91682480.0,0.0,9575.09622225,1359.15,7.044915,2,Wet Sand,2
4709.5,42.7841,0.3484,2.6641,1.2236,1.1892,3502.3655,500.0,3162.6638,0.2168,1.0,0.1216,87061056.0,0.0,9330.65192855,1332.05,7.004731,2,Wet Sand,2
4710.0,42.7841,0.3484,2.6641,1.2236,1.1892,3534.3596,500.0,3162.9663,0.2168,1.0,0.1216,88658936.0,0.0,9415.88741036,1332.05,7.068719199999999,2,Wet Sand,2
4710.5,36.4933,0.3424,2.6161,1.3829,1.3302,3446.8486,500.0,3163.269,0.2219,1.0,0.0892,81311712.0,0.0,9017.30062246,1308.05,6.893697199999999,2,Wet Sand,2
4711.0,36.4933,0.3424,2.6161,1.3829,1.3302,3423.7036,500.0,3163.5718,0.2219,1.0,0.0892,80223392.0,0.0,8956.750987959998,1308.05,6.847407199999999,2,Wet Sand,2
4711.5,34.6278,0.3959,2.6161,1.3946,1.3302,3377.3713,500.0,3163.8743,0.2603,0.8775,0.0799,76735632.0,0.0,8835.541057929999,1308.05,6.754742599999999,2,Wet Sand,2
4712.0,34.6278,0.3959,2.6161,1.3946,1.3302,3377.3713,500.0,3164.177,0.2603,0.8775,0.0799,76735632.0,0.0,8835.541057929999,1308.05,6.754742599999999,2,Wet Sand,2
4712.5,34.6278,0.3866,2.5937,1.3946,1.2464,3377.3713,500.0,3164.4797,0.2482,1.0,0.0956,78066792.0,0.0,8759.88794081,1296.85,6.754742599999999,2,Wet Sand,2
4713.0,34.6278,0.3866,2.5937,1.3946,1.2464,3377.3713,500.0,3164.7822,0.2482,1.0,0.0956,78066792.0,0.0,8759.88794081,1296.85,6.754742599999999,2,Wet Sand,2
4713.5,37.7583,0.3827,2.5937,1.4495,1.3006,3377.3713,500.0,3165.085,0.2531,1.0,0.0731,76735632.0,0.0,8759.88794081,1296.85,6.754742599999999,2,Wet Sand,2
4714.0,37.7583,0.3827,2.5937,1.4495,1.3006,3554.3945,500.0,3165.3877,0.2531,1.0,0.0731,84990560.0,0.0,9219.03301465,1296.85,7.108789,2,Wet Sand,2
4714.5,32.9967,0.3732,2.59,1.4377,1.3842,3620.6707,500.0,3165.6931,0.2286,1.0,0.1379,87938192.0,0.0,9377.537113,1295.0,7.2413414,2,Wet Sand,2
4715.0,32.9967,0.3732,2.59,1.4377,1.3842,3630.6116,500.0,3166.0029,0.2286,1.0,0.1379,88421736.0,0.0,9403.284044,1295.0,7.261223200000001,2,Wet Sand,2
4715.5,40.9305,0.3381,2.59,1.6524,1.4348,3630.6116,500.0,3166.3149,0.2265,1.0,0.065,88421736.0,0.0,9403.284044,1295.0,7.261223200000001,2,Wet Sand,2
4716.0,40.9305,0.3381,2.59,1.6524,1.4348,3630.6116,500.0,3166.6292,0.2265,1.0,0.065,88421736.0,0.0,9403.284044,1295.0,7.261223200000001,2,Wet Sand,2
4716.5,40.9305,0.2916,2.6873,3.2951,3.0172,3065.1033,500.0,3166.9441,0.1862,0.8801,0.1113,67845728.0,0.0,8236.852098090001,1343.65,6.1302066,2,Wet Sand,2
4717.0,40.9305,0.2916,2.6873,3.2951,3.0172,3069.4709,500.0,3167.2642,0.1862,0.8801,0.1113,68039224.0,0.0,8248.58914957,1343.65,6.1389418,2,Wet Sand,2
4717.5,45.9009,0.2895,2.6873,3.1056,3.0251,3052.9885,500.0,3167.5884,0.1784,0.8892,0.1396,67310472.0,0.0,8204.29599605,1343.65,6.105977,2,Wet Sand,2
4718.0,45.9009,0.2895,2.6873,3.1056,3.0251,3092.0525,500.0,3167.9185,0.1784,0.8892,0.1396,69044016.0,0.0,8309.27268325,1343.65,6.184105,2,Wet Sand,2
4718.5,47.7915,0.3889,2.6796,0.9082,0.9028,3097.9104,500.0,3168.2573,0.2257,1.0,0.1867,68909272.0,0.0,8301.160707840001,1339.8000000000002,6.195820800000001,2,Wet Sand,2
4719.0,47.7915,0.3889,2.6796,0.9082,0.9028,3077.5352,500.0,3168.5901,0.2257,1.0,0.1867,68005808.0,0.0,8246.56332192,1339.8000000000002,6.1550704,2,Wet Sand,2
