Trace,CDP,Montara,Nome,Plover_Reservoir,Plover_Volcanics
1,1,3087.25,3399.3333,3231.2307,3118.8889
2,2,3088.1538,3399.1428,3231.1428,3119.2
3,3,3090.0,3398.6667,3231.1765,3119.8181
4,4,3091.1111,3394.0,3231.2632,3120.5715
5,5,3092.0,3391.0,3231.1111,3121.4666
6,6,3092.9092,3389.6001,3230.8889,3122.6667
7,7,3094.0,3389.0,3230.75,3124.0
8,8,3098.8,3388.3333,3230.9412,3124.5454
9,9,3100.0,3387.2,3231.1765,3124.8572
10,10,3101.0769,3386.3635,3231.647,3125.3845
11,11,3102.0,3385.1428,3231.8823,3126.7507
12,12,3102.3201,3384.6667,3232.0,3127.0286
13,13,3102.8889,3383.8462,3232.1333,3127.3064
14,14,3103.3333,3383.4285,3232.0,3127.5842
15,15,3103.6924,3383.1428,3231.8462,3127.8621
16,16,3104.1428,3382.9231,3231.8181,3128.1399
17,17,3104.3704,3382.6667,3231.7778,3128.6667
18,18,3104.5186,3382.6155,3232.0,3127.6001
19,19,3104.4614,3382.3333,3232.0,3126.8
20,20,3104.2,3381.0,3232.2856,3126.0
21,21,3103.6843,3379.3333,3232.0,3125.8262
22,22,3103.1765,3376.0,3231.647,3125.8333
23,23,3102.5334,3374.0,3231.2632,3126.0
24,24,3101.5684,3375.3333,3231.0,3125.8262
25,25,3100.7251,3375.0,3230.6001,3125.8
26,26,3099.8818,3375.3333,3230.2,3125.5557
27,27,3099.0386,3375.5,3229.7646,3125.0
28,28,3098.1951,3375.4546,3229.2,3124.1538
29,29,3097.3518,3374.8,3228.7273,3123.2
30,30,3096.5085,3374.3333,3228.6086,3122.4443
31,31,3095.6653,3373.4285,3228.5,3121.6924
32,32,3094.2068,3372.0,3228.5186,3120.8572
33,33,3093.304,3370.8889,3228.5715,3120.2856
34,34,3092.4011,3370.0,3228.6206,3119.5
35,35,3091.4983,3369.6924,3228.7585,3119.0
36,36,3090.3411,3369.7144,3228.9629,3118.5334
37,37,3089.5886,3370.0,3229.2307,3118.4707
38,38,3088.8362,3370.0,3229.4546,3118.8
39,39,3088.084,3370.5715,3229.7896,3119.0
40,40,3087.3315,3371.25,3230.0,3119.2727
41,41,3086.4634,3371.647,3230.5,3119.2173
42,42,3086.0293,3371.8462,3230.9412,3119.2307
43,43,3085.5952,3372.0,3231.25,3119.0769
44,44,3085.2,3371.8181,3231.3333,3119.1428
45,45,3084.2063,3371.6667,3231.6001,3119.1035
46,46,3084.4377,3371.3333,3231.8462,3119.2415
47,47,3084.6692,3370.7273,3232.3333,3119.3845
48,48,3084.9009,3370.8572,3232.5454,3119.6001
49,49,3085.1323,3370.5715,3232.9092,3119.9199
50,50,3085.3638,3370.0,3233.0,3120.261
51,51,3085.5952,3369.5557,3232.6667,3120.261
52,52,3086.1509,3369.2942,3232.6667,3120.3635
53,53,3086.7065,3368.6667,3232.3999,3120.0952
54,54,3087.262,3368.3999,3232.25,3119.8
55,55,3087.8176,3367.4285,3231.25,3119.8
56,56,3088.3733,3366.9231,3230.5715,3119.5557
57,57,3090.0,3366.0,3229.2,3119.2632
58,58,3090.2354,3364.6667,3228.0,3119.0
59,59,3090.5715,3363.0,3227.5386,3118.9231
60,60,3090.7273,3361.5557,3227.1428,3115.6384
61,61,3090.7273,3360.1819,3227.2307,3115.1174
62,62,3090.6956,3359.2307,3227.4285,3114.5967
63,63,3090.5217,3358.5334,3227.6667,3114.0757
64,64,3090.3479,3358.2354,3227.8462,3113.5547
65,65,3090.1667,3358.2104,3227.5386,3113.0339
66,66,3089.7144,3358.0,3227.4285,3112.5129
67,67,3089.0,3357.75,3227.3333,3111.9922
68,68,3088.7368,3357.1111,3227.25,3111.4712
69,69,3088.3333,3356.5881,3227.3333,3111.8948
70,70,3088.0,3355.7778,3227.4119,3111.6001
