Near_Amplitude,Mid_Amplitude,Far_Amplitude,Time_ms,Trace
-0.07044938,0.036505777,-0.28168532,3084.0,1
-0.098626785,-0.036260895,-0.2522012,3088.0,1
-0.012333515,-0.06502912,-0.081848666,3092.0,1
0.15320869,0.033121265,0.15402411,3096.0,1
0.1655363,0.1685011,0.34403273,3100.0,1
0.079243004,0.18373135,0.3669648,3104.0,1
0.033454753,0.039890267,0.22937235,3108.0,1
-0.029944383,-0.10902757,0.072123826,3112.0,1
-0.14441505,-0.120873295,-0.0032244215,3116.0,1
-0.24303594,-0.048106633,-0.016328445,3120.0,1
-0.17787571,-0.0058004283,-0.0327085,3124.0,1
0.07219868,-0.0058004283,-0.081848666,3128.0,1
0.15673086,-0.014261676,-0.11133276,3132.0,1
-0.04208047,-0.021880211,-0.106736936,3136.0,1
-0.083936475,-0.01443099,-0.09281369,3140.0,1
0.13195242,0.024677346,-0.084857546,3144.0,1
0.16940252,0.05633648,-0.070934296,3148.0,1
-0.039877523,0.03398886,-0.03513166,3152.0,1
-0.114777744,-0.0013948856,0.014594248,3156.0,1
0.01299323,-0.0013948856,0.05238594,3160.0,1
0.050443336,0.00419202,0.07028726,3164.0,1
-0.0024273966,-0.0013948856,0.08421049,3168.0,1
0.10111113,0.03771345,0.11006798,3172.0,1
0.28175285,0.13082856,0.14785963,3176.0,1
0.2971735,0.20345831,0.17570613,3180.0,1
0.17601138,0.20532064,0.1498487,3184.0,1
0.028413873,0.11779246,0.05636399,3188.0,1
-0.06631288,-0.053539347,-0.06894525,3192.0,1
-0.101560056,-0.22673343,-0.1942545,3196.0,1
-0.21168394,-0.3090562,-0.2917117,3200.0,1
-0.36193532,-0.29762307,-0.33156648,3204.0,1
-0.31941137,-0.21073136,-0.29455844,3208.0,1
-0.075607255,-0.06896065,-0.18922783,3212.0,1
0.097323574,0.03851068,-0.055429496,3216.0,1
0.054799598,0.063663535,0.0840624,3220.0,1
-0.01040383,0.0773833,0.19508654,3224.0,1
0.080313966,0.13226226,0.21786074,3228.0,1
0.162527,0.14826864,0.15807852,3232.0,1
0.074644126,0.08195652,0.11253012,3236.0,1
-0.041588083,0.008784571,0.12961076,3240.0,1
-0.10112164,-0.002648551,0.15807852,3244.0,1
-0.08127712,0.015644437,0.13815108,3248.0,1
0.049129717,0.008784571,0.049901135,3252.0,1
0.11149822,-0.016368302,-0.046889186,3256.0,1
-0.013238751,-0.039234545,-0.10382464,3260.0,1
-0.082759194,-0.04523728,-0.1213629,3264.0,1
-0.047946006,-0.03323173,-0.12396147,3268.0,1
-0.06535262,-0.013222441,-0.12396147,3272.0,1
-0.061000947,-0.013222441,-0.103172906,3276.0,1
0.04343873,-0.02922988,-0.056398645,3280.0,1
0.10436183,-0.02122614,0.00076987135,3284.0,1
0.10436183,0.022794206,0.042347003,3288.0,1
0.08260355,0.038801644,0.03714984,3292.0,1
0.030383715,-0.017224291,-0.030412968,3296.0,1
-0.043594334,-0.061244678,-0.095377214,3300.0,1
-0.082759194,0.014790507,-0.06159581,3304.0,1
-0.01313278,0.21888505,0.07093124,3308.0,1
0.16093335,0.33894062,0.16967689,3312.0,1
0.21315311,0.17086276,0.1177055,3316.0,1
-0.01748445,-0.22131883,-0.051201515,3320.0,1
-0.34385833,-0.5294615,-0.18632713,3324.0,1
-0.4058352,-0.4626044,-0.16059779,3328.0,1
-0.08414797,-0.04482345,0.01689549,3332.0,1
0.37992546,0.40968546,0.22020593,3336.0,1
0.58559436,0.57037044,0.3234747,3340.0,1
0.36410478,0.36836645,0.25893173,3344.0,1
-0.06305371,-0.021868443,0.065302745,3348.0,1
-0.32673183,-0.3340564,-0.15091632,3352.0,1
-0.3161847,-0.4212854,-0.28000236,3356.0,1
-0.18961923,-0.3156924,-0.28645664,3360.0,1
-0.09469511,-0.15041643,-0.22836794,3364.0,1
-0.041959465,-0.003504438,-0.14446203,3368.0,1
-0.01559166,0.111270554,-0.01860319,3372.0,1
-0.010318106,0.15718052,0.11371,3376.0,1
-0.07360086,0.10667955,0.19438875,3380.0,1
-0.17907208,0.005677564,0.21375163,3384.0,1
-0.16325139,-0.035641447,0.21375163,3388.0,1
0.00871653,0.027393324,0.20804276,3392.0,1
0.19963382,0.13214266,0.18057881,3396.0,1
0.25170216,0.17287852,0.15703829,3400.0,1
-0.073332936,-0.010192583,-0.26585585,3088.0,2
-0.011163891,-0.04507888,-0.15240018,3092.0,2
0.12752089,0.013593519,0.07096565,3096.0,2
0.1195505,0.111909464,0.30142242,3100.0,2
0.035064373,0.13252409,0.38296872,3104.0,2
0.02390582,0.035793893,0.27660403,3108.0,2
-0.01594613,-0.07203648,0.12414799,3112.0,2
-0.1339079,-0.078379445,0.035510752,3116.0,2
-0.21839403,-0.019707032,0.014237791,3120.0,2
-0.14984867,0.0056648185,-0.010580605,3124.0,2
0.065351866,-0.008606835,-0.07794492,3128.0,2
0.14186761,-0.026049994,-0.12758175,3132.0,2
-0.02213756,-0.03969912,-0.13919607,3136.0,2
-0.056036163,-0.027483467,-0.13058546,3140.0,2
0.11943897,0.019634005,-0.109058954,3144.0,2
0.13339722,0.05802603,-0.07461656,3148.0,2
-0.044071957,0.037084933,-0.020800313,3152.0,2
-0.09192881,-0.0013070938,0.037321243,3156.0,2
0.0077729733,-0.008287453,0.07391628,3160.0,2
0.027713334,-0.004797283,0.08683218,3164.0,2
-0.012167388,-0.0013070938,0.09329013,3168.0,2
0.093516506,0.04755548,0.10620606,3172.0,2
0.2610155,0.13306499,0.12988518,3176.0,2
0.27896184,0.19414319,0.15571702,3180.0,2
0.16530178,0.1923981,0.14064844,3184.0,2
0.027713334,0.106888585,0.05669511,3188.0,2
-0.06401232,-0.05365984,-0.059548005,3192.0,2
-0.10389303,-0.2107181,-0.18224907,3196.0,2
-0.19417542,-0.2853193,-0.28181693,3200.0,2
-0.3122154,-0.2853193,-0.34343582,3204.0,2
-0.26345974,-0.21460992,-0.334193,3208.0,2
-0.055606753,-0.07533392,-0.24484561,3212.0,2
0.07013147,0.040372305,-0.09079844,3216.0,2
0.018809753,0.06608477,0.08481532,3220.0,2
-0.019681547,0.07679831,0.22345777,3224.0,2
0.09835843,0.13036601,0.2511863,3228.0,2
0.17790711,0.15179309,0.1834055,3232.0,2
0.08039582,0.09179728,0.12794852,3236.0,2
-0.047908504,0.018945225,0.14335322,3240.0,2
-0.112060666,-0.0046245675,0.17108175,3244.0,2
-0.096664146,-0.0046245675,0.14335322,3248.0,2
0.029074097,-0.017480819,0.050924942,3252.0,2
0.10092451,-0.034622476,-0.04766524,3256.0,2
-0.009417203,-0.0389079,-0.11236505,3260.0,2
-0.074910894,-0.03489016,-0.1341583,3264.0,2
-0.02764325,-0.02364022,-0.13697062,3268.0,2
-0.035521194,-0.008640262,-0.13697062,3272.0,2
-0.039460152,-0.0048902826,-0.117284365,3276.0,2
0.047197215,-0.012390242,-0.058225572,3280.0,2
0.09840388,-0.008640262,0.009270188,3284.0,2
0.08264799,0.017609596,0.054267336,3288.0,2
0.047197215,0.021359576,0.040205713,3292.0,2
-0.0040093814,-0.0273902,-0.035726998,3296.0,2
-0.059155032,-0.057390038,-0.089161135,3300.0,2
-0.074910894,0.032609556,-0.027290046,3304.0,2
0.023563411,0.23135868,0.11051379,3308.0,2
0.19687815,0.3251082,0.16957256,3312.0,2
0.22051202,0.13385913,0.054267336,3316.0,2
-0.039460152,-0.24863918,-0.14259528,3320.0,2
-0.35063896,-0.514888,-0.24946354,3324.0,2
-0.37689558,-0.41628063,-0.15285261,3328.0,2
-0.033206876,-0.007585926,0.08813745,3332.0,2
0.4011774,0.40971285,0.3151571,3336.0,2
0.5396075,0.54307634,0.3885019,3340.0,2
0.2770676,0.3236719,0.26276794,3344.0,2
-0.12390249,-0.05921054,0.014792669,3348.0,2
-0.32916105,-0.35605195,-0.22270478,3352.0,2
-0.27665302,-0.41197857,-0.34145352,3356.0,2
-0.15254325,-0.27861506,-0.31700525,3360.0,2
-0.061847623,-0.11083511,-0.22270478,3364.0,2
-0.018886534,0.022528395,-0.10395607,3368.0,2
-0.014113056,0.11287143,0.039240915,3372.0,2
-0.04752725,0.14728785,0.17545268,3376.0,2
-0.10480871,0.104267366,0.23831967,3380.0,2
-0.14299631,0.035434548,0.23133443,3384.0,2
-0.08094141,0.009622279,0.2103788,3388.0,2
0.07073066,0.052934974,0.19543289,3392.0,2
0.20090076,0.118372686,0.17420211,3396.0,2
0.21661095,0.14018525,0.16146365,3400.0,2
-0.050679527,0.011739122,-0.27877477,3088.0,3
-0.014909274,-0.028567653,-0.24735653,3092.0,3
0.09985364,-0.0053137452,-0.043138158,3096.0,3
0.07898764,0.055146404,0.24355304,3100.0,3
-0.002985846,0.08615162,0.40457135,3104.0,3
